4250530877,"MECOM, J. W. (SWD)",14,"MECOM, J. W. (SWD)",HUGOTON OPERATING COMPANY,HUGOTON OPERATING COMPANY  INC.,,J. C. MARTIN,ZAPATA (TX),"LOBO,WILCOX","LOBO,WILCOX",DISPOSAL,ACTIVE,TX,27.1510825,-99.3904971
4250530446,"MCCANN, CATALINA L.",1,"MCCANN, CATALINA L.",ARETE OPERATING,ARETE OPERATING COMPANY  LLC,,LA PERLA,ZAPATA (TX),"WILCOX, ELEVENTH","WILCOX, ELEVENTH",DISPOSAL,ACTIVE,TX,27.2552857,-99.3061375
4250385751,MARSHALL,1SW,MARSHALL,WALSH & WATTS,WALSH & WATTS  INC.,,DAWS,YOUNG (TX),,PERMIAN SANDS,DISPOSAL,ACTIVE,TX,33.1541387,-98.9314301
4250385303,"DONNELL, SALLIE R. -D-",6WD,"DONNELL, SALLIE R. -D-","ROMAC OIL COMPANY, INC.",ROMAC OIL COMPANY  INC.,,MURRAY,YOUNG (TX),MISSISSIPPI,MISSISSIPPI,DISPOSAL,ACTIVE,TX,33.0768956,-98.9513198
4250385166,SCAN-KING "B",3,SCAN-KING "B","BROWN, DARRYL OPERATING L.L.C.",BROWN  DARRYL OPERATING L.L.C.,,YOUNG COUNTY REGULAR,YOUNG (TX),,,DISPOSAL,ACTIVE,TX,33.3382062,-98.5336042
4250385137,"CAMPBELL, R., ESTATE -E-",17,"CAMPBELL, R., ESTATE -E-","MYERS, JAMES B.",MYERS  JAMES B.,,YOUNG COUNTY REGULAR,YOUNG (TX),,,DISPOSAL,ACTIVE,TX,33.3651353,-98.667445
4250385052,"MORGAN, C.V. ESTATE",1B,"MORGAN, C.V. ESTATE","JUST OIL & GAS, INC.",JUST OIL & GAS  INC.,,YOUNG COUNTY REGULAR,YOUNG (TX),,,DISPOSAL,ACTIVE,TX,33.3419762,-98.8311531
4250384714,"DAWS, W.D. ET AL ""770""",3D,"DAWS, W.D. ET AL ""770""","ROMAC OIL COMPANY, INC.",ROMAC OIL COMPANY  INC.,,YOUNG COUNTY REGULAR,YOUNG (TX),,,DISPOSAL,ACTIVE,TX,33.1849775,-98.9426984
4250384597,ALEXANDER,2,ALEXANDER,FIVE K PARTNERSHIP,FIVE K PARTNERSHIP,,"GRAHAM, NORTH",YOUNG (TX),STRAWN,STRAWN,DISPOSAL,ACTIVE,TX,33.138393,-98.5253264
4250384491,"WHITAKER, H. ETAL",3,"WHITAKER, H. ETAL",BLUEBONNET LAND & CATTLE CO.,BLUEBONNET LAND & CATTLE CO.,,YOUNG COUNTY REGULAR,YOUNG (TX),,,DISPOSAL,ACTIVE,TX,33.3572776,-98.5487596
4250384260,GILMORE,1S,GILMORE,WILTON OPERATING,WILTON OPERATING,,YOUNG COUNTY REGULAR,YOUNG (TX),,GUNSIGHT SAND,DISPOSAL,ACTIVE,TX,33.359949,-98.5036372
4250383123,"ABBOTT, OSCAR, ETAL",2,"ABBOTT, OSCAR, ETAL",BETWELL OIL & GAS COMPANY,BETWELL OIL & GAS COMPANY,,"PADGITT, WEST",YOUNG (TX),MISSISSIPPI,MISSISSIPPI,DISPOSAL,ACTIVE,TX,33.2979997,-98.9387338
4250383084,MCANULTY,6,MCANULTY,"SCHLITTLER, WILLARD",SCHLITTLER  WILLARD,,SHIRK,YOUNG (TX),STRAWN 3400,GUNSIGHT,DISPOSAL,ACTIVE,TX,33.1429535,-98.8623768
4250383084,MCANULTY,6,MCANULTY,"SCHLITTLER, WILLARD",SCHLITTLER  WILLARD,,SHIRK,YOUNG (TX),STRAWN 3400,GUNSIGHT,DISPOSAL,ACTIVE,TX,33.1429535,-98.8623768
4250382922,"CAMPBELL, R. -AA-",6W,"CAMPBELL, R. -AA-","CRAIG, ROBERT A.",CRAIG  ROBERT A.,,YOUNG COUNTY REGULAR,YOUNG (TX),,,DISPOSAL,ACTIVE,TX,33.368679,-98.6941828
4250382572,"KING, B. W.",2,"KING, B. W.",BEREN CORPORATION,BEREN CORPORATION,,SHIRK,YOUNG (TX),STRAWN 3600,STRAWN 3600,DISPOSAL,ACTIVE,TX,33.161661,-98.8625128
4250382480,LYNN -C-,2,LYNN -C-,"BROWN, DARRYL OPERATING L.L.C.",BROWN  DARRYL OPERATING L.L.C.,,LYNN,YOUNG (TX),,STRAWN,DISPOSAL,ACTIVE,TX,32.9876877,-98.5583994
4250382464,"GAHAGAN, C. P. -B-",11,"GAHAGAN, C. P. -B-",ITX CORPORATION,ITX CORPORATION,,LONG,YOUNG (TX),STRAWN 3100,PALO PINTO MARKER,DISPOSAL,ACTIVE,TX,33.2039177,-98.477594
4250382335,TAYLOR,5,TAYLOR,DOUBLE J ENTERPRISES,DOUBLE J ENTERPRISES,,KNOX,YOUNG (TX),,,DISPOSAL,ACTIVE,TX,33.1947556,-98.5165741
4250382211,BRUNDIDGE,1 D,BRUNDIDGE,MBX OPERATING LLC,MBX OPERATING LLC,,YOUNG COUNTY REGULAR,YOUNG (TX),,,DISPOSAL,ACTIVE,TX,33.0061755,-98.7683749
4250382012,CAMPBELL -UG-,6,CAMPBELL -UG-,"CRAIG, ROBERT A.",CRAIG  ROBERT A.,,YOUNG COUNTY REGULAR,YOUNG (TX),,,DISPOSAL,ACTIVE,TX,33.3778827,-98.703344
4250381629,KISINGER -B-,3,KISINGER -B-,"RYAN, JOSEPH G.",RYAN  JOSEPH G.,,YOUNG COUNTY REGULAR,YOUNG (TX),,STRAWN,DISPOSAL,ACTIVE,TX,33.0052395,-98.5169281
4250381355,"ROGERS, A. C.",8W,"ROGERS, A. C.",KEM ENERGY,KEM ENERGY  INC.,,YOUNG COUNTY REGULAR,YOUNG (TX),,,DISPOSAL,ACTIVE,TX,33.3384042,-98.7347931
4250381113,"HAGGARD, S. A.",5,"HAGGARD, S. A.","CRJ BOND OPERATIONS, LLC",CRJ BOND OPERATIONS  LLC,,YOUNG COUNTY REGULAR,YOUNG (TX),,,DISPOSAL,ACTIVE,TX,33.1617312,-98.900188
4250381050,HENLEY HRS. "B",1WD,HENLEY HRS. "B","R.J. RILEY OPERATING, LLC",R.J. RILEY OPERATING  LLC,,YOUNG COUNTY REGULAR,YOUNG (TX),,,DISPOSAL,ACTIVE,TX,32.9977616,-98.6811142
